index,input_dataset,dataschema_variable,label:en,description:en,valueType,unit,other_format,Categories::label:en,input_variables,Variable label,Variable description,Coding,Unit (abbreviated),`Mlstr_harmo::comment`,`Mlstr_harmo::status`,Mlstr_harmo::status_detail,Mlstr_harmo::rule_category,Mlstr_harmo::algorithm,comment_question_for_cohort,response_from_cohort
30,AGN,lab_HbA1c,Glycated hemoglobin (A1c),Glycated hemoglobin (A1c),decimal,mmol/mol,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
31,AGN,lab_chol_tot,Total cholesterol,Total cholesterol,decimal,mmol/L,,,Chol1,"Total cholesterol in mmol/L, wave 1","Blood samples were taken by a trained laboratory nurse at the research center. The participants were advised to consume only light meals on the day of the assessments, preferably no less than 2 h before arrival. ",. = missing,mmol/L,,complete,identical,direct_mapping,direct_mapping,,
32,AGN,lab_chol_hdl,HDL cholesterol,HDL cholesterol,decimal,mmol/L,,,HDL1,"HDL in mmol/L, wave 1","Blood samples were taken by a trained laboratory nurse at the research center. The participants were advised to consume only light meals on the day of the assessments, preferably no less than 2 h before arrival. ",. = missing,mmol/L,,complete,identical,direct_mapping,direct_mapping,,
33,AGN,lab_chol_ldl,LDL cholesterol,LDL cholesterol,decimal,mmol/L,,,LDL1,"LDL in mmol/L, wave 1","Blood samples were taken by a trained laboratory nurse at the research center. The participants were advised to consume only light meals on the day of the assessments, preferably no less than 2 h before arrival. ",. = missing,mmol/L,,complete,identical,direct_mapping,direct_mapping,,
34,AGN,lab_chol_ldl_calculated,Calculated LDL cholesterol,Calculated LDL cholesterol,decimal,mmol/L,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
35,AGN,lab_trigly,Triglycerides,Triglycerides,decimal,mmol/L,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
36,AGN,lab_c_reac_pro,C-reactive protein,C-reactive protein,decimal,µg/ml,,,CRP1,"C-reactive protein in mg/L, wave 1","Blood samples were taken by a trained laboratory nurse at the research center. The participants were advised to consume only light meals on the day of the assessments, preferably no less than 2 h before arrival. ",-=missing,mg/L,,complete,identical,direct_mapping,direct_mapping,,
37,AGN,nut_fruit_quantity,Fruit intake quantity,Fruit Intake quantity,integer,g/day,,,fruit_vegetable1,"Fruit Intake & Vegetable Intake, wave 1",How many servings of fruit or vegetables do you eat per day?,1 = five or more,,,impossible,incompatible,impossible,impossible,,
38,AGN,nut_fruit_frequency,Fruit intake frequency,Fruit Intake frequency,integer,,,"1 = Rarely ; 
2 = Several times a week ; 
3 = Every day",fruit_vegetable1,"Fruit Intake & Vegetable Intake, wave 1",How many servings of fruit or vegetables do you eat per day?,1 = five or more,,,impossible,incompatible,impossible,impossible,,
39,AGN,nut_vegetable_quantity,Vegetable intake quantity,Vegetable Intake quantity,integer,g/day,,,fruit_vegetable1,"Fruit Intake & Vegetable Intake, wave 1",How many servings of fruit or vegetables do you eat per day?,1 = five or more,,,impossible,incompatible,impossible,impossible,,
40,AGN,nut_vegetable_frequency,Vegetable intake frequency,Vegetable Intake frequency,integer,,,"1 = Rarely ; 
2 = Several times a week ; 
3 = Every day",fruit_vegetable1,"Fruit Intake & Vegetable Intake, wave 1",How many servings of fruit or vegetables do you eat per day?,1 = five or more,,,impossible,incompatible,impossible,impossible,,
41,AGN,nut_energy_tot,Total energy intake,Total energy intake,decimal,kcal/day,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
42,AGN,alc_alcohol,Alcohol intake,Alcohol intake per week,decimal,g/week,,,__BLANK__,,,,,,impossible,incompatible,impossible,impossible,,
43,AGN,alc_alcohol_frequency,Frequency of alcohol consumption,Frequency of alcohol consumption,integer,,,"0 = Never/almost never ; 
1 = Monthly ; 
2 = Weekly ; 
3 = Daily/almost daily",__BLANK__,,,,,,impossible,incompatible,impossible,impossible,,
44,AGN,smk_smoking_status,Smoking status,Smoking Status,integer,,,"0 = Never smoked ; 
1 = Previously smoked ; 
2 = Currently smoke",tobacco1,"Smoking status now or before, wave 1","Do you currently smoke or have you ever smoked regularly, that is, daily or almost daily for at least a year?","0 = no;
1 = yes, but I stopped (extra question);
2 = yes i still smoke",,,complete,identical,direct_mapping,direct_mapping,,
45,AGN,smk_smoking_frequency,Current smoking frequency,Current smoking frequency,integer,,,"1 = Monthly ;
2 = Weekly ;
3 = Daily/almost daily ;",tobacco1,"Smoking status now or before, wave 1","Do you currently smoke or have you ever smoked regularly, that is, daily or almost daily for at least a year?","0 = no;
1 = yes, but I stopped (extra question);
2 = yes i still smoke",,,complete,compatible,recode,recode(1=2; 0=NA; ELSE=NA),,
46,AGN,smk_smoking_quantity,Number cigarettes smoked per week,Number cigarettes smoked per week,integer,cigarettes/week,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
47,AGN,lsb_rated_health,Self Rated Health,Self Rated Health,integer,,,"1 = Poor/Very Poor ; 
2 = Moderate/Fair ; 
3 = Good ; 
4 = Very good/Excellent",self_rated_health1,Participants self-rated health status - wave 1,"Participants self rated health status at baseline (wave 1). Self-reported. Interview item: How would you rate your current health status in general? Response options: very good, good, moderate, poor, very poor","1 = Very good;
2 = Good;
3 = Moderate;
4 = Poor;
5 = Very poor;
. = missing",,,complete,compatible,recode,recode(1=4; 2=3; 3=2; 4=1; 5=1; ELSE=NA),,
48,AGN,dis_cvd,Cadio vascular diseases,"Cardio vascular diseases (ischemic heart disease, stroke, hypertension, heart failure, atrial fibrillation, thrombosis, cerebrovascular disease, angina pectoris)",integer,,,"0 = No ; 
1 = Yes","Cardiac_dis_nr1;
Vascular_dis_nr1;
Cerebr_dis_nr1","Number of self-reported physician diagnosed cardiac diseases -wave 1;
Number of self-reported physician diagnosed vascular diseases -wave1;
Number of self-reported physician diagnosed cerebral or cerebrovascular diseases -wave1","Number of self-reported physician diagnosed cardiac diseases. Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: Any cardiac conditions? 0 = No, 1 = If yes, what: a) myocardial infarction, b) coronary heart disease (0 no surgery, 1 yes - coronary artery bypass surgery, 2 yes - a coronary angioplasty), c) heart failure, d) atrial fibrillation or other arrhythmias ( 0 no pacemaker, 1 yes pacemaker), e) other, what?;
Number of self-reported physician diagnosed vascular diseases. Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: A vascular disease such as hypertension or lower extremity arterial thrombosis? 0=No, 1= If yes, what: a ) hypertension, b) lower extremity arterial thrombosis or intermittent claudication, c) other, what?;
Number of self-reported physician diagnosed cerebral or cerebrovascular diseases. Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: Any cerebrovascular disorder or brain injury? 0=No, 1= If yes, what: a) Stroke (cerebral haemorrhage or cerebral infarction), b) brain injury, c) other, what?",". = missing;
. = missing;
. = missing",,,undetermined,,,,Can you make sure you provide us with the sub variables for the cardiovascular questions?,
49,AGN,dis_musculoskeletal,Musculoskeletal diseases,"Musculoskeletal diseases (Osteoporosis, Arthrosis, Rheumatic disorder, Osteoarthritis or Rheumatism, Rheumatoid Arthritis, Osteoarthritis, Other arthritis, and Rheumatoid arthritis)",integer,,,"0 = No ; 
1 = Yes",MuscSkel_dis_nr1,Number of self-reported physician diagnosed musculoskeletal diseases -wave 1,"Number of self-reported physician diagnosed musculoskeletal diseases. Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: Any long-term illness or injury in the joints, muscles, or bones? 0=No, 1=If yes, what: a) rheumatic arthritis, b) osteoarthritis, c) chronic back pain or injury/problems, d) chronic neck pain or injury/problems, e) osteoporosis, f) other, what?",. = missing,,,undetermined,,,,Can you make sure you provide us with the sub variables for the musculoskeletal (MuscSkel_dis_nr1) questions?,
50,AGN,dis_diabetes,Diabetes,Diabetes,integer,,,"0 = No ; 
1 = Yes",Diabetes_dichotomous1,Diabetes present -wave 1,"Diabetes mellitus present. Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: Diabetes? 0=No, 1=If yes, what: a) Type 2 diabetes mellitus, b) Type 1 diabetes mellitus","0 = No
1 = Yes
. = missing",,,complete,identical,recode,recode(0=0; 1=1; ELSE=NA),,
51,AGN,dis_diabetes_type,Diabetes type,Diabetes type,integer,,,"1 = Type 1 ; 
2 = Type 2 ; 
3 = Other",,,,,,,undetermined,,,,"Is this variable available? If so, can you provide it with its categories because no information in the data dictionary but question available in the questionnaire.",
52,AGN,dis_cancer,Cancer,Cancer,integer,,,"0 = No ; 
1 = Yes",Cancer_current_dichotomous1,Cancer present currently or treated within past year -wave1,"Malignant cancer present. Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: Some form of cancer (malignant tumour)? 0=No, 1=If yes, have cancer treatments ended? a) No, the treatments are still ongoing b) Yes, when? NOTE: With respect to cancer, only those receiving surgical, pharmacological, or conservative treatment in the past twelve months were counted as having cancer.","0 = No
1 = Yes
. = missing",,,complete,identical,recode,recode(1=1; 0=0; ELSE=NA),,
53,AGN,dis_hypercholesteromia,Hypercholesteromia,Hypercholesteromia,integer,,,"0 = No ; 
1 = Yes",__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
54,AGN,med_lipid_lowering,Use of lipid lowering medication,Use of lipid lowering medication,integer,,,"0 = No ; 
1 = Yes",atc_total1,Self-reported medicines in use. Codes according to the Anatomical Therapeutic Chemical (ATC) classification -wave 1,"The use of drugs was asked using a postal questionnaire at baseline (wave 1). Questionnaire item: ""What medicines prescribed by your doctor are you currently taking? Write the names of the medicines on the lines below. Check the names on your prescriptions or medicine bottles. Also, indicate whether you use the medicines regularly (1) or only when needed (2)."" Note: The question also included this item: I do not take any medication prescribed by my doctor. 

This variable contains the codes of drugs according to the Anatomical Therapeutic Chemical (ATC) classification. Drug names were matched to ACT codes using an algorithm and then manually checked.",,,,complete,compatible,case_when,"case_when(
grepl(""^C10"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl("", C10"", atc_total1, ignore.case = TRUE) ~ 1L;
!is.na(atc_total1) ~ 0L; 
ELSE ~ NA_integer_)",,
55,AGN,med_blood_pressure,Use of medication to manage blood pressure,Use of medication to manage blood pressure,integer,,,"0 = No ; 
1 = Yes",atc_total1,Self-reported medicines in use. Codes according to the Anatomical Therapeutic Chemical (ATC) classification -wave 1,"The use of drugs was asked using a postal questionnaire at baseline (wave 1). Questionnaire item: ""What medicines prescribed by your doctor are you currently taking? Write the names of the medicines on the lines below. Check the names on your prescriptions or medicine bottles. Also, indicate whether you use the medicines regularly (1) or only when needed (2)."" Note: The question also included this item: I do not take any medication prescribed by my doctor. 

This variable contains the codes of drugs according to the Anatomical Therapeutic Chemical (ATC) classification. Drug names were matched to ACT codes using an algorithm and then manually checked.",,,,undetermined,,,"case_when(
grepl(""^C02"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl("", C02"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl(""^C03"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl("", C03"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl(""^C07"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl("", C07"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl(""^C08"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl("", C08"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl(""^C09"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl("", C09"", atc_total1, ignore.case = TRUE) ~ 1L;
!is.na(atc_total1) ~ 0L; 
ELSE ~ NA_integer_)",Can you confirm that the variable is formatted as a string with each element separated by a coma?,
56,AGN,med_diabetes,Use of medication for diabetes,Use of medication for diabetes,integer,,,"0 = No ; 
1 = Yes",atc_total1,Self-reported medicines in use. Codes according to the Anatomical Therapeutic Chemical (ATC) classification -wave 1,"The use of drugs was asked using a postal questionnaire at baseline (wave 1). Questionnaire item: ""What medicines prescribed by your doctor are you currently taking? Write the names of the medicines on the lines below. Check the names on your prescriptions or medicine bottles. Also, indicate whether you use the medicines regularly (1) or only when needed (2)."" Note: The question also included this item: I do not take any medication prescribed by my doctor. 

This variable contains the codes of drugs according to the Anatomical Therapeutic Chemical (ATC) classification. Drug names were matched to ACT codes using an algorithm and then manually checked.",,,,undetermined,,,"case_when(
grepl(""^A10"", atc_total1, ignore.case = TRUE) ~ 1L;
grepl("", A10"", atc_total1, ignore.case = TRUE) ~ 1L;
!is.na(atc_total1) ~ 0L; 
ELSE ~ NA_integer_)",,
57,AGN,cog_depression,Depression,Indicator of whether the participant has ever being diagnosed with depression or not,integer,,,"0 = No ; 
1 = Yes",Depression_dichotomous1,Self-reported physician diagnosed depression at some point in life -wave 1,"Self-reported physician diagnosed depression at some point in life. Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: Depression? Response options: 0=No, 1=Yes.","0 = No
1 = Yes
. = missing",,,complete,identical,direct_mapping,direct_mapping,,
58,AGN,cog_dep_cesd20,CES-D (20 items) score,CES-D (20 items) score,integer,,,,CESD_tot_score1,Self-reported depressive symtoms based on CES-D total score. Scaled if one missing item. - wave 1,"Self-reported depressive symtoms at baseline (wave 1) assessed with the 20-item Centre for Epidemiologic studies Depression Scale (CES-D) during the home interview. Self-reported. 

Participant rate the frequency of each depressive symptom during the previous week. Each item is scored from 0 (rarely or none of the time) to 3 (most or all of the time) with higher scores indicating more depressive symptoms (range 0-60). For participants with one missing item at most, the total score was calculated.",.= missing,,,complete,identical,direct_mapping,direct_mapping,,
59,AGN,cog_dep_cesd10,CES-D (10 items) score,CES-D (10 items) score,integer,,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
60,AGN,cog_dep_malaise,Malaise inventory (9 items) score,Malaise inventory (9 items) score,integer,,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
61,AGN,cog_dep_kessler,Kessler psychological distress score,Kessler psychological distress score,integer,,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
62,AGN,cog_dep_phq9,PHQ-9 score,PHQ-9 score,integer,,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
63,AGN,cog_mci_mmse_score,MMSE score,MMSE score,integer,,,,MMSE_cor_tot_score1,MMSE corrected total score - wave 1,"A trained research assistant administered the Mini-Mental State Examination (MMSE) test to the participant during the home interview. The tests have been reviewed by a registered nurse at the end of the data collection. Baseline - wave 1. 

If the participant answers all questionnaire items, the points are summed up (to a maximum of 30 points). The same procedure applies if he/she refuses to answer some of the items.

If, for example, due to visual impairment (or other reason than cognitive ability), the participant is unable to complete two of the tasks (write a complete sentence and copy the picture), the following scoring method is used: 
- maximum score for completed tasks: 30 - number of tasks not completed. 
- total test score = 30 x scores obtained / maximum number of tasks completed. 
- For example, a participant cannot complete two tasks (write a complete sentence and copy the picture). His maximum score is 30-2=28. He has received 25 points for the tasks he has completed. His total test score is: 30 x 25 / 28 = 26,7 ≈ 27 points.",. = missing,,,complete,identical,direct_mapping,direct_mapping,,
64,AGN,cog_mci_moca_score,MoCa score,MoCa score,integer,,,,__BLANK__,,,,,,impossible,unavailable,impossible,impossible,,
65,AGN,cog_alzheimers_dementia,Alzheimers/Dementia,Alzheimers/Dementia,integer,,,"0 = Has not been diagnosed with Alzheimers or other dementia;
1 = Has been diagnosed with Alzheimers or other dementia",Neurol_dis_categorical1,Category of self-reported physician diagnosed neurologic disease -wave 1,"Self-reported at baseline (wave 1). Information collected during home interview. 

Interview item: Have you ever been diagnosed by a doctor with the following conditions: A neurological condition such as Parkinson's disease, dementia or epilepsy? 0= No, 1= If yes, what? a) Parkinson's disease, b) Alzheimer or orher dementia disease, c) epilepsy, d) other, what?","1 = parkinson's disease
2 = alzheimer or other dementia
3 = epilepsy
4 = other neurological disease
999 = No neurological disease
. = missing",,,complete,compatible,recode,recode(1=0; 2=1; 3=0; 4=0; 999=0; ELSE=NA),"Can you tell us what is happening if a participant has several disease specified in the variable? (e.g., what if a participant has both parkinson and Alzheimer?)",
